"","score","text"
"1184",0,"just basic"
"1185",0,""
"1186",0,""
"1187",0,"warns holiday cups promote gay agenda via"
"1188",-1,"holiday cup fuels homophobic ire via"
"1189",1,"but consume beverage nevertheless right sigh"
"1190",-1,"its long time visited around time news tax evasion zion"
"1191",0,"feel headline fire evergreen"
"1192",-1,"holiday cup fuels homophobic ire via"
"1193",0,"this drink real mvp"
"1194",-1,"the ppl mad holiday cups mfers okay grown"
"1195",0,"this morning"
"1196",0,"couldn fire evergreen headline"
"1197",-1,"checkout fall favorites"
"1198",2,"fav basket take look amazing items"
"1199",1,"time spelled name correctly"
"1200",0,"who else loves fall"
"1201",0,"little friday afternoon treat almost thanksgiving"
"1202",-3,"what corporate office fires town petty lying baristas you boycott"
"1203",0,"control energy"
"1204",0,"happy friday break"
"1205",0,"date night consist goinf indigo getting books grabbing drinks"
"1206",2,"fav basket take look amazing items"
"1207",0,"completely lost trust humanity"
"1208",0,"back basic"
"1209",1,"introduces prepaid loyalty card"
"1210",1,"lots employed lesbians kids disposable income going latte glad run"
"1211",-1,"miss bed time trip"
"1212",-1,"waiting"
"1213",1,"drove free after drive pla"
"1214",0,"warns holiday cups promote gay agenda via"
"1215",0,"cup cappuccino earrings miniature food jewelry inedible via"
"1216",0,"love the world people lives constantly looking outrage"
"1217",0,"yasssssss promote promote that agendaaaaaaa lol"
"1218",-2,"people mad lesbians holding hands seriously usa get shit smh"
"1219",0,"tonight"
"1220",-1,"slow people shop gas"
"1221",1,"enter win mug holiday blend can"
"1222",-1,"leave named rufus cup affront preferred whe"
"1223",2,"fav basket take look amazing items"
"1224",-1,"stopped drinking ago political anti christmas nonsense and"
"1225",3,"thank wonderful pretty stoked tomorrow"
"1226",1,"enter for your chance win gift card ends via"
"1227",0,""
"1228",1,"use add your via ends get bonus stars score some"
"1229",0,"prepared"
"1230",0,"just downloaded vol"
"1231",0,"mia registry sleepy send now"
"1232",0,"standup comic material move chris rock"
"1233",0,""
"1234",1,"true still love"
"1235",1,"love vanilla almond lattes"
"1236",1,"billion global category ripe innovation howard schultz here the"
"1237",-1,"elaborated crappy"
"1238",1,"typical population seattle college students laptops creative types band shirt"
"1239",1,"gift cards free shipping price"
"1240",1,"good afternoon let continue scratcher adventure bought pair"
"1241",1,"donuts breakfast caramel apple spice and loaded potato tri tip lunch love fridays"
"1242",0,""
"1243",0,"anyone"
"1244",2,"fav basket take look amazing items"
"1245",0,"today day today bank holiday"
"1246",0,"trying"
"1247",0,"when comes branding takes anyone signature"
"1248",0,"when lunch sitting store lobby takes resist urge shout"
"1249",1,"nothing creative chilling peppermint mocha drink writing creati"
"1250",2,"full free promotion favorite band another hit album"
"1251",0,"reopens"
"1252",0,"mean check how make gift basket htt"
"1253",0,"mean check how make gift basket htt"
"1254",-2,"please change design sucks little vent hole hits nose time sip"
"1255",-2,"you holidays attacked morons hate"
"1256",1,"patient people"
"1257",1,"offended god fuckin asshole write thank"
"1258",0,"inpatient flow"
"1259",-1,"just bought consumed expired drink normal practice dairy"
"1260",0,"call"
"1261",0,"mean check how make gift basket htt"
"1262",0,"mean check how make gift basket htt"
"1263",-1,"breaking plans commercial kitchen chicago near north side supply chain bakeries"
"1264",0,"once fire believe promoting"
"1265",0,"american colada studying"
"1266",1,"boy staff love cool construction cant wait"
"1267",0,"thing conservatives board train"
"1268",0,"time grab iced latte day ill earn"
"1269",0,""
"1270",1,"love time"
"1271",0,"latest holiday cup promoting homosexuality"
"1272",0,"latest holiday cup promoting homosexuality"
"1273",-1,"district manager handle dirty stores"
"1274",0,"the future"
"1275",0,"afternoon pick"
"1276",3,"hope day loving grateful mine non stop decathlon grateful taking minute"
"1277",0,"did lesbian holding christmas"
"1278",0,"afternoon pick"
"1279",-2,"your mcm complicated expensive"
"1280",1,"love person help feel drinks quickly desser"
"1281",1,"excited thx"
"1282",1,"its official barnes noble cut ribbon main third downtown farmville"
"1283",0,"moms special juice"
"1284",0,"mean check how make gift basket htt"
"1285",-1,"totally refusing"
"1286",0,"christmas coming town"
"1287",0,"treat self friyay"
"1288",2,"fav basket take look amazing items"
"1289",0,"sometimes little"
"1290",-1,"kill christmas"
"1291",1,"this need rose gold"
"1292",0,"stopped stores castro told corporate told remove"
"1293",0,"its started new coming main street alamosa construction underway weather permitting"
"1294",0,"making translation not complaining what happy multi faceted day skype"
"1295",0,"there thirteen seats eight kids computer one young told sit"
"1296",2,"treating royalty lately ordered hot iced free"
"1297",0,"gotta start day little pick"
"1298",1,"gold foil christmas card"
"1299",1,"gold foil christmas card"
"1300",1,"last day enjoy stop water"
"1301",-1,"complaint rando drinking iced latte"
"1302",1,"that magic moment drink matches hair chile"
"1303",0,"when wife espresso receive texts lol"
"1304",2,"fav basket take look amazing items"
"1305",-1,"please calling boycott pushing existent gay agenda there als"
"1306",-1,"received yellow card inspector failed audit infractions"
"1307",0,"time cool springs wrong sandwich time exchange"
"1308",-1,"when sell bad create"
"1309",-1,"why controversy every who cares looks neve"
"1310",0,"thanksgiving christmas flavor"
"1311",2,"fav basket take look amazing items"
"1312",0,"more exclusive drinks drool"
"1313",0,"oviedo"
"1314",0,"little gecko frappe sketch"
"1315",0,"practical when"
"1316",2,"fav basket take look amazing items"
"1317",0,"gecko frappe sketches afternoon"
"1318",0,"its monday make treating week"
"1319",1,"you living unless enjoying journey"
"1320",0,"waking"
"1321",0,"attest lesbianism hands buzzfeed gay"
"1322",0,"bubble shots"
"1323",-3,"unable resolve log issues via customer service ugh"
"1324",1,"sip savor beverages our caramel brule latte chestnut praline latte perfect"
"1325",-2,"leave home but held hostage wasp stop buzzing"
"1326",2,"fav basket take look amazing items"
"1327",0,"when college acquaintance calls"
"1328",2,"sip savor beverages caramel brule chestnut praline perfect treat cozy"
"1329",0,"what looking could life here"
"1330",0,"your choice"
"1331",0,"register november ends open"
"1332",-1,"causes social media buzz mystery hands"
"1333",0,"check las vegas strip collection cup mug mnib via"
"1334",2,"whoa designs seriously incredible"
"1335",0,"what looking could life here"
"1336",2,"fav basket take look amazing items"
"1337",1,"how energize morning"
"1338",2,"sunday vintage charm meets modern amenities new updated kitchen baths walk"
"1339",1,"tell environmentally friendly"
"1340",0,"speaking version run rudolph run playing sounds all tomorrow parties"
"1341",0,"shopping city galati"
"1342",2,"fav basket take look amazing items"
"1343",1,"fyi the toasted white chocolate mocha amazing"
"1344",0,"people pushing gay agenda absolutely idea retail design wor"
"1345",0,"diy chai tea latte"
"1346",1,"starting night shift nice eggnog latte"
"1347",2,"fav basket take look amazing items"
"1348",1,"time enjoy"
"1349",-1,"dear etc spend hard earned dollars product politics"
"1350",1,"don forget lights switch sunday warm"
"1351",-1,"dear etc spend hard earned dollars product politics"
"1352",0,""
"1353",1,"definitely week there festive menu"
"1354",2,"fav basket take look amazing items"
"1355",-1,"drive thru decided pay persons latte waiting line"
"1356",-1,"drowning metaphysics theology homework please send light"
"1357",1,"chose time hit favorite cray women yesterday walked sat table"
"1358",0,"mean check how make gift basket htt"
"1359",-1,"whats season people finding horrendous"
"1360",-1,"can serious national conversation terrible holiday menu what eggnog frappu"
"1361",0,"its forgets lock bathroom door"
"1362",0,"gift cards price"
"1363",0,"time lunch strawberry green tea infusion phoenix"
"1364",2,"customer service excellent proud"
"1365",1,"holidays approach nice people lonelier tip jar advent"
"1366",0,"surprised terrible customer service line not helpful"
"1367",1,"heading take free magazine digital"
"1368",1,"celebration"
"1369",0,"can believe stopped selling ate date you nee"
"1370",2,"fav basket take look amazing items"
"1371",-1,"wsbtv reports mpetchenikwsb police warn scam calls targeted others protec"
"1372",0,"police warn scam calls targeted others protect"
"1373",0,"police warn scam calls targeted others protect"
"1374",2,"endorsed hot chocolate"
"1375",-2,"upset guys grabbed standard white chocolate mocha dismay"
"1376",1,"thankful land little espresso shot lik"
"1377",0,"about friday"
"1378",0,"deb allen brought"
"1379",0,"morning"
"1380",0,"first person seen keren you need this for your christmas tree"
"1381",0,"boy cotting"
"1382",0,"caramel brle latte turkey stuffing panini day day"
"1383",0,"members pay get value contains aff"
"1384",1,"loving"
"1385",1,"festive ginger latte"
"1386",0,"christmassssssss isssssss commmmiiiiiiinnngggggg"
"1387",-1,"this mornings poison reno nevada"
"1388",0,"haven forever wanted try toasted white chocolate mocha"
"1389",0,"tea cup original"
"1390",0,"cookies"
"1391",2,"what favorite feature game ours free machine"
"1392",0,""
"1393",2,"love learn whatever selling win focus experience isn"
"1394",2,"sign metta loving kindness ive"
"1395",-1,"wth full xmas music playing the worst forgot headphones block"
"1396",0,"hello yes basic white"
"1397",0,"check north carolina collectors ceramic tumbler nwt"
"1398",0,"latte dishwasher"
"1399",2,"fav basket take look amazing items"
"1400",0,"check you are here yah caerdydd cardiff mug new"
"1401",-1,"research central nervous stimulant effects conference attendance"
"1402",0,"with"
"1403",0,"feature sex couples hands"
"1404",1,"starting cinnamon dolce brewed love"
"1405",0,"finally getting fix day"
"1406",0,"new blog post what customers responding click thi"
"1407",1,"our wallpaper looks fantastic drop"
"1408",0,"started"
"1409",0,"the barista street office drink drin"
"1410",1,"snickerdoodle hot chocolates heart"
"1411",0,"finish head catch saritagmz"
"1412",2,"fav basket take look amazing items"
"1413",0,"playing hooky oliver actually doctor"
"1414",3,"ooh love celebrated beverages rich creamy now"
"1415",0,"understand feel spirit"
"1416",0,"what time close"
"1417",0,"chapters"
"1418",0,"row targets eateries overcharging customers names shoots letter"
"1419",-1,"there worse offices"
"1420",1,"nice"
"1421",1,"best companion"
"1422",0,"rising sun not"
"1423",0,"human rights cam"
"1424",2,"penske great holiday win"
"1425",0,"you christmas corner"
"1426",0,"should shamed time forever xtrl double double"
"1427",0,"this toddlers"
"1428",0,"this start day charlotte north carolina set"
"1429",0,"mug collecting begun"
"1430",-1,"when life crazy block time caffeine"
"1431",1,"give boost east end"
"1432",0,"drink number season"
"1433",-1,"skinny caramel macchiato banana bread mmmm feeling extra"
"1434",1,"love visitors lunch"
"1435",0,"first trip"
"1436",-2,"sorry eggnog latte disappointing egg nog latte sooo"
"1437",1,"these favorite pink drink atl"
"1438",1,"passing benefits consumers charging percent"
"1439",0,"last hrs"
"1440",-2,"sad morning its rainy snowy day white chocolate mocha cold got"
"1441",1,"great"
"1442",0,"grab morning catch its entertainment"
"1443",0,"couple public meltdowns does finally time"
"1444",0,"had season"
"1445",0,"james but listen god word you otherwise fooling yourselve"
"1446",0,"new blog post what customers respondin"
"1447",2,"fav basket take look amazing items"
"1448",2,"fav basket take look amazing items"
"1449",1,"durban boom"
"1450",0,"decided check basic bitch gingerbread hot latte conclusion"
"1451",1,"great"
"1452",0,"check orange pumpkin dot tumbler ounces new via"
"1453",0,"pumpkin spice lattes vote retweet"
"1454",-1,"how these denigrate women little girls dont daughter"
"1455",-1,"girls one joke"
"1456",1,"happy friday conference time"
"1457",0,"mean check how make gift basket htt"
"1458",2,"rose gold glitter"
"1459",2,"fav basket take look amazing items"
"1460",2,"fav basket take look amazing items"
"1461",1,"suicune raid valor enter anytime suicune raid"
"1462",0,"copenhagen airport cph"
"1463",0,"comes thru goodies"
"1464",1,"who win covfefe christmas"
"1465",0,"ghart stop"
"1466",2,"fav basket take look amazing items"
"1467",0,"pumpkin spice lattes vote retweet"
"1468",0,"there freaking laptops best buy"
"1469",-2,"guess season controversy let hypocrite"
"1470",0,"just threw sip tall macchiato tasted warmed milk ful"
"1471",1,"looking restaurant support profit providing gift cards location"
"1472",1,"free demo"
"1473",0,"omg just picked first pound christmas blend season"
"1474",0,"kerfuffle trumpers unfolds reminded screaming libs snow"
"1475",1,"japan announces round festive drinks coming soon via"
"1476",1,"have sweet"
"1477",1,"thank gentleman black jeep front ohio plates buying"
"1478",2,"christmas blend nice favorite"
"1479",0,"should shamed time forever xtrl double double"
"1480",-1,"weeks cali allergies existing fly home tomorrow wake morning ragin"
"1481",2,"fav basket take look amazing items"
"1482",0,"the guy front drink"
"1483",0,"this morning"
"1484",0,"apparently inventing official tradition people"
"1485",1,"lovers rejoice the arrival marks beginning read"
"1486",0,"mean check how make gift basket htt"
"1487",1,"perfect rainy autumn morning"
"1488",3,"who else loves christmas sweeten favourite drink calorie sweet granules availab"
"1489",0,"getting spirit"
"1490",0,"this morning"
"1491",0,"friday morning commute via across"
"1492",1,"happy friday"
"1493",0,"check korea collaboration alice olivia eco bag mug troy tumbler set via"
"1494",1,"have sweet"
"1495",0,"season"
"1496",1,"have sweet"
"1497",2,"fav basket take look amazing items"
"1498",-1,"day mental health break reading listening sipping"
"1499",0,"hours ride covered"
"1500",0,"some days hug mug other days emergency resuscitation"
"1501",0,"when name"
"1502",-1,"krs growl twee white girl plays acoustic buck buck buck buck buck buck buck buck buck all guys"
"1503",0,"study music library"
"1504",0,"the basic white girl photo"
"1505",0,"new mug collection"
"1506",0,"its"
"1507",1,"cool lime lemonade drink"
"1508",0,"what getting days lately"
"1509",2,"fav basket take look amazing items"
"1510",-2,"every secret sorrows world times call cold sad"
"1511",0,"friday goes"
"1512",0,"brand new now open"
"1513",-1,"coincidence born january deal cold the universe when"
"1514",0,"christmas christmasy here have some lesbians"
"1515",0,"don understand happen store treated class citize"
"1516",0,"drinking iced latte degrees weather roll"
"1517",0,"employees forced remember name paying drink forced friendship that"
"1518",-2,"where plot spectrum build obnoxious chai options"
"1519",0,"santabucks"
"1520",0,"mean check how make gift basket htt"
"1521",1,"about surprise amazing teachers"
"1522",1,"today profiles cordarius barista hill ctr enjoys job"
"1523",-2,"still exhausted yesterday wake need dis bad"
"1524",1,"dog free the lady ahead drive paid ord"
"1525",1,"morning favorite chicago hotel busy day headin"
"1526",0,"morning commute"
"1527",0,"the complete guide caffeine via"
"1528",1,"started day hockey practice followed coaching team bank stadium wouldn"
"1529",2,"fav basket take look amazing items"
"1530",0,"white"
"1531",1,"chestnut praline latte rainy day makes feel nice"
"1532",-1,"increased prices week probs pay stupid"
"1533",0,"craving java chocolate chip frap"
"1534",-1,"someone bonded gave lengthy account namesake name"
"1535",0,"check out video guys"
"1536",0,"just claimed"
"1537",1,"was looking forward listening bedheads interview jon jay rich morning"
"1538",-1,"yes days bouncing ass wait latte"
"1539",2,"perfect timing upgrading free hour exam"
"1540",-2,"choose politically insult customers financially foolish"
"1541",0,"some durham"
"1542",0,"the future people buying"
"1543",0,"new conbini just tried"
"1544",0,"new conbini just tried"
"1545",0,"white"
"1546",1,"best studying"
"1547",0,"just breakfast sandwich david paid cash tell name"
"1548",0,"feel basic feel extra asf"
"1549",1,"our store morning proud kamel team more"
"1550",0,"mean check how make gift basket htt"
"1551",0,"liked anyways expensive"
"1552",0,"favourite nitro"
"1553",0,"overcrowding taking buzz business"
"1554",0,"twm psl pass"
"1555",0,"how hands gay hands"
"1556",-1,"coming bleeding resistor boy forgot midol here"
"1557",0,"customer service rep marco day"
"1558",0,"bro honestly where terminal"
"1559",-1,"understand cares shop damn"
"1560",3,"holiday travel news bulletin glitter atlanta airport lines super friendly baristas"
"1561",0,"name lol thnx"
"1562",2,"fav basket take look amazing items"
"1563",0,"the folks hide kids cover eyes and drive thru allllll lat"
"1564",1,"sci writer director producer creator likes"
"1565",0,"gotta start day little pick"
"1566",0,"after revised rates restaurants percent compensate"
"1567",0,"offers makes app then apol"
"1568",0,"kerfuffle trumpers unfolds reminded screaming libs"
"1569",-2,"who mind call this crap satyr demon"
"1570",-1,"stages anxiety"
"1571",0,"who breakfast bed insanely happy brings bed"
"1572",1,"durban boom"
"1573",0,"defined paying your hard earned buy effectively"
"1574",1,"last day enjoy stop water"
"1575",1,"fantastic job opportunity cafe manager position london click look"
"1576",0,"rest time"
"1577",0,"rest time"
"1578",-1,"the tea drinkers walking line pass drinkers drinks hand wait"
"1579",-1,"garbage runs america"
"1580",1,"holidays approach nice people lonelier tip jar advent also carry cash"
"1581",0,"rest time"
"1582",2,"thankful rewards account free venti frap"
"1583",2,"this must fans people love"
"1584",0,"todays"
"1585",-1,"its gruelling week tiredness makes funny took five attempts usb flash drive"
"1586",1,"released drinks but prefer vote poll"
"1587",0,"coworkers"
"1588",1,"good morning let start day"
"1589",-2,"shocked quarters esp cheap"
"1590",0,"venti dirty chai soy morning because friday love"
"1591",1,"time months worth drinks barista experience upperton road"
"1592",0,"when coworker brings tall carmel latte"
"1593",1,"time months worth drinks barista experience upperton road"
"1594",1,"time months worth drinks barista experience upperton road"
"1595",0,"quick pasilip planner"
"1596",1,"time months worth drinks barista experience upperton road"
"1597",1,"time months worth drinks barista experience upperton road"
"1598",2,"fav basket take look amazing items"
"1599",0,"thanks smooshed bagel spoon cream cheese"
"1600",1,"love barista help customer experience else"
"1601",1,"calling parking the purpose defeated park"
"1602",0,"quick continuing drive abington services welcome break"
"1603",2,"good morning enjoy day time"
"1604",1,"good morning world jesus"
"1605",1,"time months worth drinks barista experience upperton road"
"1606",0,"what cups can teach you about evolving your offerings"
"1607",-1,"yes please venti fat iced mocha extra shot espresso whipped cream please"
"1608",0,"apparently name paco"
"1609",0,"season"
"1610",1,"forever lover"
"1611",1,"good morning nice cold morning baby pero curenlaaa lol aauu"
"1612",1,"may kicks reality have fabulous weekend"
"1613",1,"happiness greeted numerous baristas name"
"1614",0,"built via"
"1615",0,"giftcard price"
"1616",1,"how salted caramel hot chocolate done"
"1617",0,"love extremely disappointed recent price hike mocha"
"1618",0,"fridays packed assuming people paid someth"
"1619",2,"gorgeous run trip love"
"1620",0,"busting centerpoint church"
"1621",0,"ordering bed holidays"
"1622",0,""
"1623",0,"what"
"1624",3,"morning makes heart happy nestle favorite booth favorite spot"
"1625",2,"fav basket take look amazing items"
"1626",0,""
"1627",0,"world round"
"1628",0,"spin"
"1629",0,"pre flight"
"1630",0,"sat cappuccino"
"1631",0,"mean check how make gift basket htt"
"1632",0,"for time time house friend headphones"
"1633",-1,"piles student credit card debt"
"1634",0,"that feeling dentist immediately remember supposed followu"
"1635",1,"even sunshine palm trees cooler weather heaven"
"1636",0,"green tea"
"1637",-1,"piles student credit card debt"
"1638",-1,"adventures making cold brew edition number"
"1639",2,"fav basket take look amazing items"
"1640",0,"australia"
"1641",1,"love"
"1642",0,""
"1643",0,"yesterday they using plastic straws never biodegrade oceans whereas chan"
"1644",1,"supporting gay agenda"
"1645",1,"last day enjoy stop water"
"1646",1,"last day enjoy stop water"
"1647",0,"thanks kim hope weekend off"
"1648",0,"enterprise endeavour carries zoom lad board mean"
"1649",0,"guess favorite buying overpriced"
"1650",0,"winter themed mugs"
"1651",1,"free demo"
"1652",0,"apparently fuck proper"
"1653",0,"hydrate caffeinate"
"1654",0,"yesterday they using plastic straws never biodegrade oceans whereas chan"
"1655",0,"starbuck care medicalcentre hospital"
"1656",0,"gonna save day"
"1657",0,"hunting weekend stop treats"
"1658",0,"yesterday they using plastic straws never biodegrade oceans whereas changing"
"1659",1,"raspberry white chocolate frappuccino thank youuuuu"
"1660",0,"for time time house friend headphones"
"1661",0,"sat cappuccino"
"1662",-1,"whoever decaf espresso retail packs shelf evil genius cruelty"
"1663",1,"raspberry white chocolate frappuccino very delicious"
"1664",2,"good morning hands free mug carriers shoulder strap"
"1665",0,"puddinggggg"
"1666",0,"mean check how make gift basket htt"
"1667",-1,"break"
"1668",1,"yes close tax loop holes companies pay proper share"
"1669",1,"taylorswift filter tho love"
"1670",0,"soooooooo getting"
"1671",0,"planner"
"1672",0,"white"
"1673",0,"white"
"1674",0,"white"
"1675",0,"just arcade currently getting"
"1676",0,"life"
"1677",0,"donate"
"1678",0,"first"
"1679",0,"toasted white chocolate mocha one beverages"
"1680",0,"mean check how make gift basket htt"
"1681",0,"guess segment holding hand"
"1682",0,"first"
"1683",1,"our store morning proud kamel team more"
"1684",1,"good morning lee"
"1685",0,"launching house artisan bakeries"
"1686",1,"the guy earlier extra hot winked snervous"
"1687",-1,"just gingerbread latte fan basic bitch"
"1688",1,"back home love eating english croissant rolls whilst watching horse badminton drinking tipsy whipple tea"
"1689",1,"great morning delivering dementia friends session retailers eagles meadow shopping centre for info"
"1690",0,"despite low dey reducing rates"
"1691",1,"writerdate lovely"
"1692",-2,"please complain trump smokescreen distraction"
"1693",0,"tgif"
"1694",2,"fav basket take look amazing items"
"1695",0,"tgif"
"1696",0,"you drink"
"1697",-1,"found favourite spot pity bit"
"1698",0,"what cups can teach you about evolving your offerings"
"1699",0,"global icon collector series"
"1700",0,"mean check how make gift basket htt"
"1701",0,""
"1702",0,"nov durbanites invited sandcastle challenge more"
"1703",2,"fav basket take look amazing items"
"1704",0,"friday large"
"1705",2,"fav basket take look amazing items"
"1706",0,"nothing home home finding"
"1707",1,"sells hot chocolate marshmellows"
"1708",0,"mean check how make gift basket htt"
"1709",1,"trying interesting"
"1710",-1,"hate tea punning"
"1711",-1,"has considered name wrong drink meant"
"1712",1,"scumbags change fox tnn the trump news network"
"1713",0,"mean check how make gift basket htt"
"1714",1,"loving xmas"
"1715",1,"loving xmas"
"1716",2,"fav basket take look amazing items"
"1717",0,"told whip cream titanbullie"
"1718",2,"fav basket take look amazing items"
"1719",2,"early winter mornings little easier hot chocolates"
"1720",0,"ginger bread latte"
"1721",2,"fav basket take look amazing items"
"1722",0,"actually check calorie content purchase"
"1723",-1,"nothing friday week this calorie drunk know drinking"
"1724",0,"off mind smelling love aroma atmosphere partner star"
"1725",0,"london mug"
"1726",2,"fav basket take look amazing items"
"1727",0,""
"1728",0,"refresh iced cold vanilla nougat latte open hour only"
"1729",2,"fav basket take look amazing items"
"1730",1,"another reason visit store why cute"
"1731",0,"mean check how make gift basket htt"
"1732",0,"when wakes deliver"
"1733",0,"drink straw"
"1734",1,"its cold tonight drinking helped warm"
"1735",0,"day takes picture portrait mode"
"1736",1,"new office near happy days"
"1737",1,"givegood hahaha free drinks"
"1738",1,"its cold tonight drinking helped warm hace fro esta noche pero"
"1739",1,"best drink green shaken iced tea substitute strawberry base water liquid cane sugar"
"1740",0,"mean check how make gift basket htt"
"1741",2,"fav basket take look amazing items"
"1742",2,"fav basket take look amazing items"
"1743",1,"love matcha guangzhou railway station"
"1744",1,"mobile tech trends dominate"
"1745",0,"can believe stopped selling ate date"
"1746",1,"sierra called cat cute little croissant warming"
"1747",2,"fav basket take look amazing items"
"1748",0,"mood"
"1749",1,"our store morning proud kamel team more"
"1750",1,"good morning toffee nut latte season"
"1751",0,"mean check how make gift basket htt"
"1752",-2,"ahh the season tell fake outrage rwnj paper"
"1753",1,"our store morning proud kamel team"
"1754",1,"just brilliant irvine"
"1755",1,"holy shit peppermint white hot chocolate fkn"
"1756",0,"happyfriday"
"1757",0,"mood"
"1758",0,"understand feel spirit"
"1759",0,"but evies_lifexx"
"1760",2,"fav basket take look amazing items"
"1761",1,"mission accomplished planner"
"1762",2,"fav basket take look amazing items"
"1763",0,"christmas"
"1764",2,"fav basket take look amazing items"
"1765",2,"fav basket take look amazing items"
"1766",0,"mean siren total diva"
"1767",0,"happyfriday"
"1768",0,"food follow enter"
"1769",1,"ends days win papa johns follow enter"
"1770",1,"ends days win papa johns follow enter"
"1771",0,"ends days pjs follow enter"
"1772",0,"ends days papa johns follow enter"
"1773",1,"free pizza follow enter tues"
"1774",0,"ends days papajohns follow enter"
"1775",0,"ends tomorrow papajohns follow enter"
"1776",2,"ends tomorrow win free follow enter papajohns"
"1777",0,"ends tomorrow follow enter"
"1778",1,"ends hrs win follow enter papajohns"
"1779",0,"ends hrs follow dominos"
"1780",0,"ends hrs follow"
"1781",0,"ends hrs follow"
"1782",0,"when friends"
"1783",0,"the played rnb rock hour currently listening"
"1784",0,"its"
"1785",0,"mean check how make gift basket htt"
"1786",0,"gift card"
"1787",0,"ends hrs follow enter"
"1788",0,"ends hrs follow"
"1789",0,"its funny people read shoulder like posting tweet twitter just follow"
"1790",2,"fav basket take look amazing items"
"1791",1,"enter win mug holiday blend can"
"1792",0,"decided mind"
"1793",2,"fav basket take look amazing items"
"1794",2,"fav basket take look amazing items"
"1795",0,"time"
"1796",1,"nobody cares christmas support patriotism buy"
"1797",0,"happyfriday"
"1798",2,"fav basket take look amazing items"
"1799",2,"fav basket take look amazing items"
"1800",2,"fav basket take look amazing items"
"1801",0,"happyfriday"
"1802",2,"fav basket take look amazing items"
"1803",1,"nobody cares christmas support patriotism buy"
"1804",0,"costs approximately million outlet million outlet"
"1805",1,"nobody cares christmas support patriotism buy"
"1806",1,"nobody cares christmas support patriotism buy"
"1807",0,"friday morning starts cake"
"1808",2,"real got movie pass and gold enjoying lifes little pleasures"
"1809",-1,"overrated"
"1810",2,"coming support christmas blend holiday cheer"
"1811",0,"mean check how make gift basket htt"
"1812",2,"those love christmas brought pressure amazing"
"1813",0,"understand feel spirit"
"1814",1,"new christmas astonishing obvious boy girl holding hands"
"1815",2,"fav basket take look amazing items"
"1816",0,"happyfriday"
"1817",1,"please collectors thank rare sterling silver gift card preloaded"
"1818",1,"red red sweaters perfect match"
"1819",2,"fav basket take look amazing items"
"1820",0,"holiday essentials"
"1821",0,"this morning"
"1822",0,"this morning"
"1823",0,"season"
"1824",0,"sacramento timer"
"1825",0,"recent"
"1826",-1,"fuck fox please"
"1827",-2,"hey guys maybe christian boycott hurts"
"1828",0,"breaks ground augusta plant expansion nice"
"1829",0,"substitute nights sleep"
"1830",0,"substitute nights sleep"
"1831",2,"fav basket take look amazing items"
"1832",2,"fav basket take look amazing items"
"1833",0,"tfs whos real love close december fuck"
"1834",0,"happyfriday"
"1835",-1,"collect stickers limited edition kape vinta card _"
"1836",0,"spending evening trying offended"
"1837",0,"drink number season"
"1838",-1,"care damn wonder expensive clea"
"1839",0,"because hands look lesbian"
"1840",2,"fav basket take look amazing items"
"1841",3,"wonder gays meet discuss agenda bet fabulous probably brunch lucky gays"
"1842",0,"basic grinch shirt don basic grinch face via"
"1843",2,"delicious gay agenda thanks gays stay fabulous"
"1844",1,"you look bright months able"
"1845",1,"nothing peppermint hot chocolate warm chilly day beach"
"1846",0,"happyfriday"
"1847",-1,"hey type person offended fucking maybe"
"1848",0,"awake"
"1849",0,"and support pour boiling pants"
"1850",2,"fav basket take look amazing items"
"1851",2,"fav basket take look amazing items"
"1852",0,"word wise matter offer link credit cards app hacks"
"1853",0,"corollary non amazon facebook google employers"
"1854",-2,"pet peeve people complain name misspelled"
"1855",2,"fav basket take look amazing items"
"1856",0,"closed middle"
"1857",1,"enter win mug holiday blend can"
"1858",0,"mean check how make gift basket htt"
"1859",0,"well shoot when spill drink shirt hard hide thankfully shift"
"1860",1,"loves puppacinos"
"1861",0,"understand feel spirit"
"1862",0,"mean check how make gift basket htt"
"1863",2,"fav basket take look amazing items"
"1864",0,"understand feel spirit"
"1865",0,"lesbians"
"1866",1,"someone please update pushing gay agenda wonder pushing gay agenda"
"1867",0,"when app outta control tomorrow study real"
"1868",0,"understand feel spirit"
"1869",0,"the nutty professor"
"1870",0,"single handedly saved slightly altered intensely gender dimorphic"
"1871",2,"fav basket take look amazing items"
"1872",2,"fav basket take look amazing items"
"1873",1,"good"
"1874",0,"current mood"
"1875",2,"fav basket take look amazing items"
"1876",0,"understand feel spirit"
"1877",0,"season"
"1878",0,"when tomorrow brew venti"
"1879",-1,"another christmas another controversy advertisement big coff"
"1880",1,"personalized car tags carried"
"1881",0,"can wait roastery amazing food"
"1882",-1,"every fucking year its fucks sake validate religious beli"
"1883",0,"when line call name lol"
"1884",1,"good"
"1885",1,"sake people festive"
"1886",0,"how its"
"1887",-1,"gayness burns"
"1888",0,"understand feel spirit"
"1889",0,"understand feel spirit"
"1890",0,"season"
"1891",0,"when life lemons"
"1892",0,"season"
"1893",0,"understand feel spirit"
"1894",0,"season"
"1895",0,"season"
"1896",0,"made"
"1897",0,"mean check how make gift basket htt"
"1898",0,"what girls"
"1899",0,"mean check how make gift basket htt"
"1900",2,"fav basket take look amazing items"
"1901",0,"when life lemons"
"1902",1,"uber fancy drinks ultimate shop"
